,word,ort,pho,wf,frequency,pho_consistency,imageability
58,frost,_fro_st___,_frast____,270,LF,INC,HI
59,gain,__gain____,__gen_____,10335,HF,CON,LI
60,gang,__ga_ng___,__g@ng____,392,LF,CON,HI
61,gasp,__ga_sp___,__g@sp____,41,LF,INC,LI
62,girl,__gi_rl___,__g^rl____,765,HF,CON,HI
63,glass,_gla_ss___,_gl@s_____,2297,HF,CON,HI
64,green,_green____,_grin_____,2189,HF,INC,HI
65,grief,_grief____,_grif_____,83,LF,CON,LI
66,group,_group____,_grup_____,49355,HF,INC,LI
67,gun,__gu_n____,__g^n_____,983,HF,CON,HI
68,halt,__ha_lt___,__halt____,1412,LF,CON,LI
69,harm,__ha_rm___,__harm____,707,LF,INC,LI
70,harp,__ha_rp___,__harp____,100,LF,INC,HI
71,haste,__ha_ste__,__hest____,84,LF,INC,LI
72,head,__head____,__hEd_____,8865,HF,INC,HI
73,health,__health__,__hElT____,12578,HF,CON,LI
74,height,__height__,__hAt_____,294,LF,INC,LI
75,hold,__ho_ld___,__hold____,7425,HF,CON,LI
76,home,__ho_me___,__hom_____,18432,HF,INC,HI
77,hope,__ho_pe___,__hop_____,4917,HF,CON,LI
78,house,__house___,__hWs_____,22988,HF,INC,HI
79,join,__join____,__JOn_____,2402,HF,CON,LI
80,judge,__ju_dge__,__J^J_____,12372,HF,CON,HI
81,key,__key_____,__ki______,4702,HF,INC,HI
82,large,__la_rge__,__larJ____,15747,HF,CON,LI
83,lawn,__lawn____,__lan_____,515,LF,CON,HI
84,leaf,__leaf____,__lif_____,248,LF,INC,HI
85,lease,__lease___,__lis_____,1585,LF,INC,LI
86,lend,__le_nd___,__lEnd____,1167,LF,CON,LI
87,less,__le_ss___,__lEs_____,20657,HF,CON,LI
88,life,__li_fe___,__lAf_____,13046,HF,CON,LI
89,lift,__li_ft___,__lIft____,964,LF,CON,LI
90,light,__li_ght__,__lAt_____,5933,HF,CON,HI
91,lose,__lo_se___,__luz_____,3089,HF,INC,LI
92,loud,__loud____,__lWd_____,307,LF,CON,LI
93,math,__ma_th___,__m@T_____,188,LF,INC,LI
94,moth,__mo_th___,__maT_____,13,LF,INC,HI
95,mouth,__mouth___,__mWT_____,566,HF,CON,HI
96,move,__mo_ve___,__muv_____,15270,HF,INC,LI
97,name,__na_me___,__nem_____,8468,HF,CON,LI
98,neck,__ne_ck___,__nEk_____,481,HF,CON,HI
99,nest,__ne_st___,__nEst____,149,LF,CON,HI
100,note,__no_te___,__not_____,4068,HF,CON,HI
101,paid,__paid____,__ped_____,11077,HF,INC,LI
102,pet,__pe_t____,__pEt_____,505,LF,CON,HI
103,phrase,phra_se___,_frez_____,430,LF,INC,LI
104,pint,__pi_nt___,__pAnt____,49,LF,INC,LI
105,pipe,__pi_pe___,__pAp_____,638,LF,CON,HI
106,plan,_pla_n____,_pl@n_____,27353,HF,INC,LI
107,plant,_pla_nt___,_pl@nt____,13641,HF,INC,HI
108,pledge,_ple_dge__,_plEJ_____,848,LF,CON,LI
109,pond,__po_nd___,__pand____,116,LF,CON,HI
110,pure,__pu_re___,__pYr_____,600,HF,CON,LI
111,push,__pu_sh___,__pUS_____,3251,LF,INC,LI
112,range,__ra_nge__,__renJ____,7978,HF,INC,LI
113,rise,__ri_se___,__rAz_____,13028,HF,INC,LI
114,roof,__roof____,__ruf_____,415,HF,INC,HI
115,rough,__rough___,__r^f_____,698,LF,INC,LI
116,rude,__ru_de___,__rud_____,145,LF,CON,LI
117,safe,__sa_fe___,__sef_____,1757,HF,INC,LI
118,scarce,_sca_rce__,_skErs____,369,LF,INC,LI
119,shark,_sha_rk___,__Sark____,109,LF,CON,HI
120,shield,_shield___,__Sild____,1118,LF,CON,HI
121,shop,_sho_p____,__Sap_____,1754,HF,CON,HI
122,shot,_sho_t____,__Sat_____,2208,HF,INC,HI
123,shout,_shout____,__SWt_____,112,LF,CON,LI
124,silk,__si_lk___,__sIlk____,178,LF,CON,HI
125,smart,_sma_rt___,_smart____,733,LF,INC,LI
126,snap,_sna_p____,_sn@p_____,282,LF,INC,LI
127,sound,__sound___,__sWnd____,2531,HF,CON,LI
128,sour,__sour____,__sWr_____,365,LF,INC,LI
129,spice,_spi_ce___,_spAs_____,77,LF,CON,HI
130,spoon,_spoon____,_spun_____,59,LF,CON,HI
131,stale,_sta_le___,_stel_____,64,LF,CON,LI
132,street,street____,strit_____,12658,HF,CON,HI
133,swamp,_swa_mp___,_swamp____,106,LF,INC,HI
134,sweat,_sweat____,_swEt_____,212,LF,INC,HI
135,sword,_swo_rd___,__sord____,136,LF,INC,HI
136,task,__ta_sk___,__t@sk____,2701,HF,CON,LI
137,text,__te_xt___,__tEkst___,555,HF,CON,LI
138,theft,_the_ft___,__TEft____,456,LF,CON,LI
139,toast,__toast___,__tost____,73,LF,CON,HI
140,toll,__to_ll___,__tol_____,743,LF,INC,LI
141,tomb,__to_mb___,__tum_____,85,LF,INC,HI
142,trade,_tra_de___,_tred_____,31728,HF,INC,LI
143,trick,_tri_ck___,_trIk_____,265,LF,CON,LI
144,trim,_tri_m____,_trIm_____,903,LF,CON,LI
145,trust,_tru_st___,_tr^st____,9260,HF,CON,LI
146,verb,__ve_rb___,__v^rb____,14,LF,CON,LI
147,war,__wa_r____,__wor_____,9400,HF,INC,HI
148,warm,__wa_rm___,__worm____,637,HF,INC,LI
149,warn,__wa_rn___,__worn____,717,LF,INC,LI
150,wash,__wa_sh___,__waS_____,1009,LF,INC,HI
151,watch,__wa_tch__,__watC____,1793,HF,INC,HI
152,weed,__weed____,__wid_____,126,LF,CON,HI
153,white,_whi_te___,__wAt_____,13667,HF,CON,HI
154,wind,__wi_nd___,__wInd____,1054,HF,INC,HI
155,wool,__wool____,__wUl_____,153,LF,INC,HI
156,worm,__wo_rm___,__w^rm____,100,LF,INC,HI
157,worth,__wo_rth__,__w^rT____,5251,HF,INC,LI
158,wrong,_wro_ng___,__rang____,3195,HF,CON,LI
159,zone,__zo_ne___,__zon_____,721,LF,INC,LI
